============= VM0 LOG START =============
Clock rate: 5 ticks per second
Peers: [1, 2]

Internal event | System time: 2025-03-04 17:28:41.092917 | Logical Clock Time: 194
Received: 188 | System time: 2025-03-04 17:28:41.293223 | Logical Clock Time: 195 | Message Queue Length: 0
Sent: 196 | System time: 2025-03-04 17:28:41.496962 | Logical Clock Time: 196
Sent: 197 | System time: 2025-03-04 17:28:41.694747 | Logical Clock Time: 197
Internal event | System time: 2025-03-04 17:28:41.894525 | Logical Clock Time: 198
Internal event | System time: 2025-03-04 17:28:42.094741 | Logical Clock Time: 199
Internal event | System time: 2025-03-04 17:28:42.295431 | Logical Clock Time: 200
Internal event | System time: 2025-03-04 17:28:42.495394 | Logical Clock Time: 201
Internal event | System time: 2025-03-04 17:28:42.695675 | Logical Clock Time: 202
Sent: 203 | System time: 2025-03-04 17:28:42.896385 | Logical Clock Time: 203
Sent: 204 | System time: 2025-03-04 17:28:43.097567 | Logical Clock Time: 204
Sent: 205 | System time: 2025-03-04 17:28:43.298180 | Logical Clock Time: 205
Internal event | System time: 2025-03-04 17:28:43.496755 | Logical Clock Time: 206
Sent: 207 | System time: 2025-03-04 17:28:43.697435 | Logical Clock Time: 207
Internal event | System time: 2025-03-04 17:28:43.897416 | Logical Clock Time: 208
Internal event | System time: 2025-03-04 17:28:44.097663 | Logical Clock Time: 209
Sent: 210 | System time: 2025-03-04 17:28:44.298684 | Logical Clock Time: 210
Internal event | System time: 2025-03-04 17:28:44.498374 | Logical Clock Time: 211
Internal event | System time: 2025-03-04 17:28:44.699057 | Logical Clock Time: 212
Received: 212 | System time: 2025-03-04 17:28:44.899462 | Logical Clock Time: 213 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:45.099604 | Logical Clock Time: 214
Internal event | System time: 2025-03-04 17:28:45.299915 | Logical Clock Time: 215
Internal event | System time: 2025-03-04 17:28:45.500262 | Logical Clock Time: 216
Internal event | System time: 2025-03-04 17:28:45.700577 | Logical Clock Time: 217
Received: 215 | System time: 2025-03-04 17:28:45.901161 | Logical Clock Time: 218 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:46.101625 | Logical Clock Time: 219
Received: 216 | System time: 2025-03-04 17:28:46.301906 | Logical Clock Time: 220 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:46.502441 | Logical Clock Time: 221
Internal event | System time: 2025-03-04 17:28:46.702757 | Logical Clock Time: 222
Sent: 223 | System time: 2025-03-04 17:28:46.903601 | Logical Clock Time: 223
Internal event | System time: 2025-03-04 17:28:47.103329 | Logical Clock Time: 224
Sent: 225 | System time: 2025-03-04 17:28:47.304310 | Logical Clock Time: 225
Internal event | System time: 2025-03-04 17:28:47.504141 | Logical Clock Time: 226
Internal event | System time: 2025-03-04 17:28:47.704440 | Logical Clock Time: 227
Internal event | System time: 2025-03-04 17:28:47.905026 | Logical Clock Time: 228
Internal event | System time: 2025-03-04 17:28:48.105403 | Logical Clock Time: 229
Sent: 230 | System time: 2025-03-04 17:28:48.308159 | Logical Clock Time: 230
Internal event | System time: 2025-03-04 17:28:48.505864 | Logical Clock Time: 231
Sent: 232 | System time: 2025-03-04 17:28:48.706562 | Logical Clock Time: 232
Sent: 233 | System time: 2025-03-04 17:28:48.907076 | Logical Clock Time: 233
Internal event | System time: 2025-03-04 17:28:49.107109 | Logical Clock Time: 234
Internal event | System time: 2025-03-04 17:28:49.307597 | Logical Clock Time: 235
Received: 235 | System time: 2025-03-04 17:28:49.508054 | Logical Clock Time: 236 | Message Queue Length: 0
Internal event | System time: 2025-03-04 17:28:49.708497 | Logical Clock Time: 237
Internal event | System time: 2025-03-04 17:28:49.908837 | Logical Clock Time: 238
Internal event | System time: 2025-03-04 17:28:50.109293 | Logical Clock Time: 239
Internal event | System time: 2025-03-04 17:28:50.309640 | Logical Clock Time: 240
Sent: 241 | System time: 2025-03-04 17:28:50.510217 | Logical Clock Time: 241
Sent: 242 | System time: 2025-03-04 17:28:50.712383 | Logical Clock Time: 242
Internal event | System time: 2025-03-04 17:28:50.910598 | Logical Clock Time: 243
Sent: 244 | System time: 2025-03-04 17:28:51.112882 | Logical Clock Time: 244
Internal event | System time: 2025-03-04 17:28:51.311041 | Logical Clock Time: 245
Internal event | System time: 2025-03-04 17:28:51.511307 | Logical Clock Time: 246
Internal event | System time: 2025-03-04 17:28:51.711509 | Logical Clock Time: 247
Received: 246 | System time: 2025-03-04 17:28:51.911789 | Logical Clock Time: 248 | Message Queue Length: 0
Sent: 249 | System time: 2025-03-04 17:28:52.112449 | Logical Clock Time: 249
Internal event | System time: 2025-03-04 17:28:52.312242 | Logical Clock Time: 250
Sent: 251 | System time: 2025-03-04 17:28:52.513836 | Logical Clock Time: 251
Internal event | System time: 2025-03-04 17:28:52.712872 | Logical Clock Time: 252
Internal event | System time: 2025-03-04 17:28:52.913237 | Logical Clock Time: 253
Sent: 254 | System time: 2025-03-04 17:28:53.115391 | Logical Clock Time: 254
Internal event | System time: 2025-03-04 17:28:53.314170 | Logical Clock Time: 255
Internal event | System time: 2025-03-04 17:28:53.514548 | Logical Clock Time: 256
Internal event | System time: 2025-03-04 17:28:53.714918 | Logical Clock Time: 257
Sent: 258 | System time: 2025-03-04 17:28:53.918992 | Logical Clock Time: 258
Internal event | System time: 2025-03-04 17:28:54.115467 | Logical Clock Time: 259
Sent: 260 | System time: 2025-03-04 17:28:54.316740 | Logical Clock Time: 260
Sent: 261 | System time: 2025-03-04 17:28:54.516867 | Logical Clock Time: 261
Internal event | System time: 2025-03-04 17:28:54.716725 | Logical Clock Time: 262
Internal event | System time: 2025-03-04 17:28:54.917098 | Logical Clock Time: 263
Internal event | System time: 2025-03-04 17:28:55.117793 | Logical Clock Time: 264
Internal event | System time: 2025-03-04 17:28:55.318417 | Logical Clock Time: 265
Sent: 266 | System time: 2025-03-04 17:28:55.521759 | Logical Clock Time: 266
Internal event | System time: 2025-03-04 17:28:55.719249 | Logical Clock Time: 267
Internal event | System time: 2025-03-04 17:28:55.919803 | Logical Clock Time: 268
Internal event | System time: 2025-03-04 17:28:56.120381 | Logical Clock Time: 269
Sent: 270 | System time: 2025-03-04 17:28:56.321725 | Logical Clock Time: 270
Internal event | System time: 2025-03-04 17:28:56.520818 | Logical Clock Time: 271
Internal event | System time: 2025-03-04 17:28:56.720994 | Logical Clock Time: 272
Internal event | System time: 2025-03-04 17:28:56.921528 | Logical Clock Time: 273
Internal event | System time: 2025-03-04 17:28:57.121742 | Logical Clock Time: 274
Internal event | System time: 2025-03-04 17:28:57.321936 | Logical Clock Time: 275
Received: 274 | System time: 2025-03-04 17:28:57.522403 | Logical Clock Time: 276 | Message Queue Length: 0
Sent: 277 | System time: 2025-03-04 17:28:57.727899 | Logical Clock Time: 277
Internal event | System time: 2025-03-04 17:28:57.923124 | Logical Clock Time: 278
Internal event | System time: 2025-03-04 17:28:58.123383 | Logical Clock Time: 279
Sent: 280 | System time: 2025-03-04 17:28:58.325238 | Logical Clock Time: 280
Sent: 281 | System time: 2025-03-04 17:28:58.525998 | Logical Clock Time: 281
Sent: 282 | System time: 2025-03-04 17:28:58.724640 | Logical Clock Time: 282
Sent: 283 | System time: 2025-03-04 17:28:58.925831 | Logical Clock Time: 283
Internal event | System time: 2025-03-04 17:28:59.125300 | Logical Clock Time: 284
Internal event | System time: 2025-03-04 17:28:59.325524 | Logical Clock Time: 285
Internal event | System time: 2025-03-04 17:28:59.525918 | Logical Clock Time: 286
Sent: 287 | System time: 2025-03-04 17:28:59.727046 | Logical Clock Time: 287
Internal event | System time: 2025-03-04 17:28:59.926610 | Logical Clock Time: 288
Internal event | System time: 2025-03-04 17:29:00.127011 | Logical Clock Time: 289
Sent: 290 | System time: 2025-03-04 17:29:00.329626 | Logical Clock Time: 290
Internal event | System time: 2025-03-04 17:29:00.527577 | Logical Clock Time: 291
Internal event | System time: 2025-03-04 17:29:00.727943 | Logical Clock Time: 292
Internal event | System time: 2025-03-04 17:29:00.928156 | Logical Clock Time: 293
Internal event | System time: 2025-03-04 17:29:01.128499 | Logical Clock Time: 294
Internal event | System time: 2025-03-04 17:29:01.328852 | Logical Clock Time: 295

============= VM LOG END =============
